Postcode,Locality,sla_code,sla_desc,lga_code,lga_desc,state
800,RAILWAY DAM,71018,City - Inner,71000,Darwin (C),Northern Territory
800,LAMEROO BEACH,71018,City - Inner,71000,Darwin (C),Northern Territory
800,DARWIN CITY,71018,City - Inner,71000,Darwin (C),Northern Territory
800,DARWIN,71018,City - Inner,71000,Darwin (C),Northern Territory
810,WAGAMAN,71118,Wagaman,71000,Darwin (C),Northern Territory
810,MUIRHEAD,71052,Lee Point-Leanyer Swamp,71000,Darwin (C),Northern Territory
810,LYONS,71052,Lee Point-Leanyer Swamp,71000,Darwin (C),Northern Territory
810,LEE PT,71052,Lee Point-Leanyer Swamp,71000,Darwin (C),Northern Territory
810,LEE POINT,71052,Lee Point-Leanyer Swamp,71000,Darwin (C),Northern Territory
810,NIGHTCLIFF,71088,Nightcliff,71000,Darwin (C),Northern Territory
810,JINGILI,71034,Jingili,71000,Darwin (C),Northern Territory
810,RAPID CREEK,71098,Rapid Creek,71000,Darwin (C),Northern Territory
810,CASUARINA BEACH,71114,Tiwi,71000,Darwin (C),Northern Territory
810,TIWI,71114,Tiwi,71000,Darwin (C),Northern Territory
810,WANGURI,71124,Wanguri,71000,Darwin (C),Northern Territory
810,MOIL,71074,Moil,71000,Darwin (C),Northern Territory
810,ALAWA,71004,Alawa,71000,Darwin (C),Northern Territory
810,MILLNER,71068,Millner,71000,Darwin (C),Northern Territory
810,COCONUT GROVE,71024,Coconut Grove,71000,Darwin (C),Northern Territory
810,KULALUK,71024,Coconut Grove,71000,Darwin (C),Northern Territory
810,BRINKIN,71014,Brinkin,71000,Darwin (C),Northern Territory
810,NAKARA,71078,Nakara,71000,Darwin (C),Northern Territory
810,CASUARINA,71078,Nakara,71000,Darwin (C),Northern Territory
810,CAMERON PARK,71034,Jingili,71000,Darwin (C),Northern Territory
812,ANULA,71008,Anula,71000,Darwin (C),Northern Territory
812,HOLMES,71052,Lee Point-Leanyer Swamp,71000,Darwin (C),Northern Territory
812,BUFFALO CREEK,71052,Lee Point-Leanyer Swamp,71000,Darwin (C),Northern Territory
812,LEANYER,71048,Leanyer,71000,Darwin (C),Northern Territory
812,WOODLEIGH GARDENS,71048,Leanyer,71000,Darwin (C),Northern Territory
812,SANDERSON,71058,Malak,71000,Darwin (C),Northern Territory
812,MARRARA,71064,Marrara,71000,Darwin (C),Northern Territory
812,MALAK,71058,Malak,71000,Darwin (C),Northern Territory
812,NORTHLAKES,71064,Marrara,71000,Darwin (C),Northern Territory
812,KARAMA,71038,Karama,71000,Darwin (C),Northern Territory
812,WULAGI,71134,Wulagi,71000,Darwin (C),Northern Territory
820,PARAP,71094,Parap,71000,Darwin (C),Northern Territory
820,BAYVIEW HAVEN,71104,Stuart Park,71000,Darwin (C),Northern Territory
820,STUART PARK,71104,Stuart Park,71000,Darwin (C),Northern Territory
820,DINAH BEACH,71104,Stuart Park,71000,Darwin (C),Northern Territory
820,MINDIL BEACH,71108,The Gardens,71000,Darwin (C),Northern Territory
820,COONAWARRA NAVAL BASE,71138,City - Remainder,71000,Darwin (C),Northern Territory
820,WINNELLIE,71128,Winnellie,71000,Darwin (C),Northern Territory
820,HMAS COONAWARRA,71138,City - Remainder,71000,Darwin (C),Northern Territory
820,COONAWARRA,71138,City - Remainder,71000,Darwin (C),Northern Territory
820,EATON,71138,City - Remainder,71000,Darwin (C),Northern Territory
820,CHARLES DARWIN,71169,East Arm,79399,Unincorporated NT,Northern Territory
820,THE GARDENS,71108,The Gardens,71000,Darwin (C),Northern Territory
820,E POINT,71028,Fannie Bay,71000,Darwin (C),Northern Territory
820,RAAF BASE DARWIN,71084,Narrows,71000,Darwin (C),Northern Territory
820,DARWIN,71011,Bayview-Woolner,71000,Darwin (C),Northern Territory
820,DARWIN INTERNATIONAL AIRPORT,71138,City - Remainder,71000,Darwin (C),Northern Territory
820,BAYVIEW,71011,Bayview-Woolner,71000,Darwin (C),Northern Territory
820,WOOLNER,71011,Bayview-Woolner,71000,Darwin (C),Northern Territory
820,E PT,71028,Fannie Bay,71000,Darwin (C),Northern Territory
820,EAST PT,71028,Fannie Bay,71000,Darwin (C),Northern Territory
820,FANNIE BAY,71028,Fannie Bay,71000,Darwin (C),Northern Territory
820,VESTEYS BEACH,71028,Fannie Bay,71000,Darwin (C),Northern Territory
820,CULLEN BAY,71044,Larrakeyah,71000,Darwin (C),Northern Territory
820,CULLEN BEACH,71044,Larrakeyah,71000,Darwin (C),Northern Territory
820,NEBRASKA BEACH,71044,Larrakeyah,71000,Darwin (C),Northern Territory
820,BAGOT,71054,Ludmilla,71000,Darwin (C),Northern Territory
820,LARRAKEYAH,71044,Larrakeyah,71000,Darwin (C),Northern Territory
820,KAHLIN BEACH,71044,Larrakeyah,71000,Darwin (C),Northern Territory
820,THE NARROWS,71084,Narrows,71000,Darwin (C),Northern Territory
820,MINMARAMA PARK,71054,Ludmilla,71000,Darwin (C),Northern Territory
820,EAST POINT,71028,Fannie Bay,71000,Darwin (C),Northern Territory
820,LUDMILLA,71054,Ludmilla,71000,Darwin (C),Northern Territory
821,WINNELLIE,71128,Winnellie,71000,Darwin (C),Northern Territory
822,BUYMARR,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,BUSH CAMP,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,BUNDATHARRI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,CHASM ISLAND,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DJURRANALPI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,BUNHANURA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHALINGBUY,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,NANYINGBURRA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,NANGALALA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,ADAMAJI BEACH,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,ABBOT ISLAND,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,ADAMENIMBURRU BEACH,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,NALIYINDI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DALIWUY BAY,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,BUDJI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,NGAYAWILLI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHOLTJI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,BREMER IS,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHAMIYAKA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHANIYA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHARAWARR,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHAYIRRI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DARRANGMURMANJA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,MUTHAMUL,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHIPIRRI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHUDUPU,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHULMULMIYA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,GARRIRRI BEACH,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DHURAMBALA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,GATJIL,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,DJARRAKPI,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,LANAGARRA,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
822,WADALIYA DISTRICT,71300,East Arnhem (S),71300,East Arnhem (S),Northern Territory
